"ID","post_author","post_date","post_date_gmt","post_content","post_title","post_excerpt","post_status","comment_status","ping_status","post_password","post_name","to_ping","pinged","post_modified","post_modified_gmt","post_content_filtered","post_parent","guid","menu_order","post_type","post_mime_type","comment_count"
16,1,"2015-03-09 08:49:37","2015-03-09 08:49:37","qwertyuiop","qwertyuiop","","inherit","open","open","","15-revision-v1","","","2015-03-09 08:49:37","2015-03-09 08:49:37","",15,"http://localhost/sellforce/15-revision-v1/",0,"revision","",0
17,1,"2015-03-13 10:57:58","2015-03-13 10:57:58","Detta är hemsidan och här ska det inte vara något speciellt innehåll mer än slogan och under slogan en carusell.. Pus","Hem","","inherit","open","open","","10-autosave-v1","","","2015-03-13 10:57:58","2015-03-13 10:57:58","",10,"http://localhost/sellforce/10-autosave-v1/",0,"revision","",0
18,1,"2015-03-09 10:27:11","2015-03-09 10:27:11","content 1","LABEL 1","","inherit","open","open","","10-revision-v1","","","2015-03-09 10:27:11","2015-03-09 10:27:11","",10,"http://localhost/sellforce/10-revision-v1/",0,"revision","",0
19,1,"2015-03-09 10:27:32","2015-03-09 10:27:32","Hej det är vi som är säljkraften ","Om oss","","publish","open","closed","","om-oss","","","2015-03-13 11:08:32","2015-03-13 11:08:32","",0,"http://localhost/sellforce/?page_id=19",0,"page","",0
20,1,"2015-03-09 10:27:32","2015-03-09 10:27:32","content 2","LABEL 2","","inherit","open","open","","19-revision-v1","","","2015-03-09 10:27:32","2015-03-09 10:27:32","",19,"http://localhost/sellforce/19-revision-v1/",0,"revision","",0
21,1,"2015-03-09 10:27:45","2015-03-09 10:27:45","Här kommer galleriet till alla bostäder..","Bostäder","","publish","open","closed","","bostader","","","2015-03-13 11:07:48","2015-03-13 11:07:48","",0,"http://localhost/sellforce/?page_id=21",0,"page","",0
22,1,"2015-03-09 10:27:45","2015-03-09 10:27:45","content 3","LABEL 3","","inherit","open","open","","21-revision-v1","","","2015-03-09 10:27:45","2015-03-09 10:27:45","",21,"http://localhost/sellforce/21-revision-v1/",0,"revision","",0
23,1,"2015-03-09 10:27:55","2015-03-09 10:27:55","INNEHÅLL 4","Property Search","","trash","open","closed","","search","","","2015-03-13 11:08:01","2015-03-13 11:08:01","",0,"http://localhost/sellforce/?page_id=23",0,"page","",0
24,1,"2015-03-09 10:27:55","2015-03-09 10:27:55","content 4","LABEL 4","","inherit","open","open","","23-revision-v1","","","2015-03-09 10:27:55","2015-03-09 10:27:55","",23,"http://localhost/sellforce/23-revision-v1/",0,"revision","",0
25,1,"2015-03-09 10:37:27","2015-03-09 10:37:27","INNEHÅLL 1","MENYLÄNK 1","","inherit","open","open","","10-revision-v1","","","2015-03-09 10:37:27","2015-03-09 10:37:27","",10,"http://localhost/sellforce/10-revision-v1/",0,"revision","",0
26,1,"2015-03-09 10:37:47","2015-03-09 10:37:47","INNEHÅLL  2","MENYLÄNK 2","","inherit","open","open","","19-revision-v1","","","2015-03-09 10:37:47","2015-03-09 10:37:47","",19,"http://localhost/sellforce/19-revision-v1/",0,"revision","",0
27,1,"2015-03-09 10:38:15","2015-03-09 10:38:15","INNEHÅLL 3","MENYLÄNK 3","","inherit","open","open","","21-revision-v1","","","2015-03-09 10:38:15","2015-03-09 10:38:15","",21,"http://localhost/sellforce/21-revision-v1/",0,"revision","",0
28,1,"2015-03-09 10:38:30","2015-03-09 10:38:30","INNEHÅLL 4","MENYLÄNK 4","","inherit","open","open","","23-revision-v1","","","2015-03-09 10:38:30","2015-03-09 10:38:30","",23,"http://localhost/sellforce/23-revision-v1/",0,"revision","",0
32,1,"2015-03-11 10:55:37","0000-00-00 00:00:00"," ","","","draft","open","open","","","","","2015-03-11 10:55:37","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?p=32",1,"nav_menu_item","",0
33,1,"2015-03-11 14:01:23","0000-00-00 00:00:00","","Auto Draft","","auto-draft","open","open","","","","","2015-03-11 14:01:23","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?page_id=33",0,"page","",0
34,1,"2015-03-11 14:37:06","2015-03-11 14:37:06","Serchform Sökformulär på svenska då :)","Sök","","publish","open","closed","","sok","","","2015-03-13 11:06:26","2015-03-13 11:06:26","",0,"http://localhost/sellforce/?page_id=34",0,"page","",0
35,1,"2015-03-11 14:37:06","2015-03-11 14:37:06","","qwertyuiop","","inherit","open","open","","34-revision-v1","","","2015-03-11 14:37:06","2015-03-11 14:37:06","",34,"http://localhost/sellforce/34-revision-v1/",0,"revision","",0
37,1,"2015-03-11 21:59:53","2015-03-11 21:59:53","","MENYLÄNK 3","","inherit","open","open","","21-revision-v1","","","2015-03-11 21:59:53","2015-03-11 21:59:53","",21,"http://localhost/sellforce/21-revision-v1/",0,"revision","",0
38,1,"2015-03-11 22:36:21","2015-03-11 22:36:21","INNEHÅLL 4","Search","","inherit","open","open","","23-revision-v1","","","2015-03-11 22:36:21","2015-03-11 22:36:21","",23,"http://localhost/sellforce/23-revision-v1/",0,"revision","",0
39,1,"2015-03-11 22:36:38","0000-00-00 00:00:00","","Auto Draft","","auto-draft","open","open","","","","","2015-03-11 22:36:38","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?page_id=39",0,"page","",0
40,1,"2015-03-11 22:37:04","2015-03-11 22:37:04","INNEHÅLL 1","About Us","","inherit","open","open","","10-revision-v1","","","2015-03-11 22:37:04","2015-03-11 22:37:04","",10,"http://localhost/sellforce/10-revision-v1/",0,"revision","",0
41,1,"2015-03-11 22:37:43","2015-03-11 22:37:43","","Home","","inherit","open","open","","34-revision-v1","","","2015-03-11 22:37:43","2015-03-11 22:37:43","",34,"http://localhost/sellforce/34-revision-v1/",0,"revision","",0
42,1,"2015-03-11 22:44:10","2015-03-11 22:44:10","INNEHÅLL 4","Property Search","","inherit","open","open","","23-revision-v1","","","2015-03-11 22:44:10","2015-03-11 22:44:10","",23,"http://localhost/sellforce/23-revision-v1/",0,"revision","",0
43,1,"2015-03-11 22:46:18","2015-03-11 22:46:18","INNEHÅLL 1","About SellForce","","inherit","open","open","","10-revision-v1","","","2015-03-11 22:46:18","2015-03-11 22:46:18","",10,"http://localhost/sellforce/10-revision-v1/",0,"revision","",0
44,1,"2015-03-11 22:46:49","2015-03-11 22:46:49","INNEHÅLL  2","Your Agents","","inherit","open","open","","19-revision-v1","","","2015-03-11 22:46:49","2015-03-11 22:46:49","",19,"http://localhost/sellforce/19-revision-v1/",0,"revision","",0
45,1,"2015-03-11 22:58:26","2015-03-11 22:58:26","","News","","inherit","open","open","","21-revision-v1","","","2015-03-11 22:58:26","2015-03-11 22:58:26","",21,"http://localhost/sellforce/21-revision-v1/",0,"revision","",0
46,1,"2015-03-12 15:13:23","2015-03-12 15:13:23","Pippis hus är till sallu","Lillavillekulla","","publish","open","open","","lillavillekulla","","","2015-03-12 15:13:23","2015-03-12 15:13:23","",0,"http://localhost/sellforce/?p=46",0,"post","",0
47,1,"2015-03-12 15:13:23","2015-03-12 15:13:23","Pippis hus är till sallu","Lillavillekulla","","inherit","open","open","","46-revision-v1","","","2015-03-12 15:13:23","2015-03-12 15:13:23","",46,"http://localhost/sellforce/46-revision-v1/",0,"revision","",0
48,1,"2015-03-12 15:13:56","2015-03-12 15:13:56","Till salu!","3 små grusarnas hus","","publish","open","open","","hej","","","2015-03-15 15:22:50","2015-03-15 15:22:50","",0,"http://localhost/sellforce/?p=48",0,"post","",0
49,1,"2015-03-12 15:13:56","2015-03-12 15:13:56","Till salu!","3 små grusarnas hus","","inherit","open","open","","48-revision-v1","","","2015-03-12 15:13:56","2015-03-12 15:13:56","",48,"http://localhost/sellforce/48-revision-v1/",0,"revision","",0
50,1,"2015-03-12 15:14:19","0000-00-00 00:00:00","","Auto Draft","","auto-draft","open","open","","","","","2015-03-12 15:14:19","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?post_type=acf&p=50",0,"acf","",0
51,1,"2015-03-12 15:17:19","0000-00-00 00:00:00"," ","","","draft","open","open","","","","","2015-03-12 15:17:19","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?p=51",1,"nav_menu_item","",0
55,1,"2015-03-12 15:17:28","0000-00-00 00:00:00"," ","","","draft","open","open","","","","","2015-03-12 15:17:28","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?p=55",1,"nav_menu_item","",0
72,1,"2015-03-13 10:58:08","2015-03-13 10:58:08","Detta är hemsidan och här ska det inte vara något speciellt innehåll mer än slogan och under slogan en carusell..","Hem","","inherit","open","open","","10-revision-v1","","","2015-03-13 10:58:08","2015-03-13 10:58:08","",10,"http://localhost/sellforce/10-revision-v1/",0,"revision","",0
73,1,"2015-03-13 10:58:11","0000-00-00 00:00:00","","Auto Draft","","auto-draft","open","open","","","","","2015-03-13 10:58:11","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?page_id=73",0,"page","",0
74,1,"2015-03-13 11:00:16","0000-00-00 00:00:00","","Auto Draft","","auto-draft","open","open","","","","","2015-03-13 11:00:16","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?p=74",0,"post","",0
75,1,"2015-03-13 11:06:26","2015-03-13 11:06:26","Serchform Sökformulär på svenska då :)","Sök","","inherit","open","open","","34-revision-v1","","","2015-03-13 11:06:26","2015-03-13 11:06:26","",34,"http://localhost/sellforce/34-revision-v1/",0,"revision","",0
76,1,"2015-03-13 11:07:28","2015-03-13 11:07:28","Här kommmer galleriet till alla bostäder.. puss","Bostäder","","inherit","open","open","","21-revision-v1","","","2015-03-13 11:07:28","2015-03-13 11:07:28","",21,"http://localhost/sellforce/21-revision-v1/",0,"revision","",0
77,1,"2015-03-13 11:07:32","2015-03-13 11:07:32","Här kommmer galleriet till alla bostäder..","Bostäder","","inherit","open","open","","21-revision-v1","","","2015-03-13 11:07:32","2015-03-13 11:07:32","",21,"http://localhost/sellforce/21-revision-v1/",0,"revision","",0
78,1,"2015-03-13 11:07:48","2015-03-13 11:07:48","Här kommer galleriet till alla bostäder..","Bostäder","","inherit","open","open","","21-revision-v1","","","2015-03-13 11:07:48","2015-03-13 11:07:48","",21,"http://localhost/sellforce/21-revision-v1/",0,"revision","",0
79,1,"2015-03-13 11:08:32","2015-03-13 11:08:32","Hej det är vi som är säljkraften ","Om oss","","inherit","open","open","","19-revision-v1","","","2015-03-13 11:08:32","2015-03-13 11:08:32","",19,"http://localhost/sellforce/19-revision-v1/",0,"revision","",0
80,1,"2015-03-13 11:09:18","2015-03-13 11:09:18"," ","","","publish","open","open","",80,"","","2015-03-13 11:09:18","2015-03-13 11:09:18","",0,"http://localhost/sellforce/?p=80",1,"nav_menu_item","",0
81,1,"2015-03-13 11:09:18","2015-03-13 11:09:18"," ","","","publish","open","open","",81,"","","2015-03-13 11:09:18","2015-03-13 11:09:18","",0,"http://localhost/sellforce/?p=81",2,"nav_menu_item","",0
82,1,"2015-03-13 11:09:18","2015-03-13 11:09:18"," ","","","publish","open","open","",82,"","","2015-03-13 11:09:18","2015-03-13 11:09:18","",0,"http://localhost/sellforce/?p=82",3,"nav_menu_item","",0
83,1,"2015-03-13 11:09:18","2015-03-13 11:09:18"," ","","","publish","open","open","",83,"","","2015-03-13 11:09:18","2015-03-13 11:09:18","",0,"http://localhost/sellforce/?p=83",4,"nav_menu_item","",0
84,1,"2015-03-13 11:09:27","2015-03-13 11:09:27"," ","","","publish","open","open","",84,"","","2015-03-13 11:13:54","2015-03-13 11:13:54","",0,"http://localhost/sellforce/?p=84",2,"nav_menu_item","",0
85,1,"2015-03-13 11:09:27","2015-03-13 11:09:27"," ","","","publish","open","open","",85,"","","2015-03-13 11:13:54","2015-03-13 11:13:54","",0,"http://localhost/sellforce/?p=85",3,"nav_menu_item","",0
86,1,"2015-03-13 11:09:27","2015-03-13 11:09:27"," ","","","publish","open","open","",86,"","","2015-03-13 11:13:54","2015-03-13 11:13:54","",0,"http://localhost/sellforce/?p=86",4,"nav_menu_item","",0
87,1,"2015-03-13 11:09:27","2015-03-13 11:09:27"," ","","","publish","open","open","",87,"","","2015-03-13 11:13:54","2015-03-13 11:13:54","",0,"http://localhost/sellforce/?p=87",1,"nav_menu_item","",0
88,1,"2015-03-14 10:07:31","2015-03-14 10:07:31","","Property form","","publish","closed","closed","","acf_property-form","","","2015-03-14 10:07:31","2015-03-14 10:07:31","",0,"http://localhost/sellforce/?post_type=acf&#038;p=88",0,"acf","",0
89,1,"2015-03-15 13:59:58","0000-00-00 00:00:00","","Auto Draft","","auto-draft","open","open","","","","","2015-03-15 13:59:58","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?p=89",0,"post","",0
90,1,"2015-03-15 15:16:17","2015-03-15 15:16:17","Till salu!","3 små grusarnas hus","","inherit","open","open","","48-revision-v1","","","2015-03-15 15:16:17","2015-03-15 15:16:17","",48,"http://localhost/sellforce/48-revision-v1/",0,"revision","",0
91,1,"2015-03-15 15:20:14","2015-03-15 15:20:14","","1012422_10152412013067844_2697796990174237382_n","","inherit","open","open","","1012422_10152412013067844_2697796990174237382_n","","","2015-03-15 15:25:13","2015-03-15 15:25:13","",0,"http://localhost/sellforce/wp-content/uploads/2015/03/1012422_10152412013067844_2697796990174237382_n.jpg",0,"attachment","image/jpeg",0
92,1,"2015-03-15 15:20:15","2015-03-15 15:20:15","","10799228253_81bde5c486_h","","inherit","open","open","","10799228253_81bde5c486_h","","","2015-03-15 15:21:20","2015-03-15 15:21:20","",48,"http://localhost/sellforce/wp-content/uploads/2015/03/10799228253_81bde5c486_h.jpg",0,"attachment","image/jpeg",0
93,1,"2015-03-15 15:20:15","2015-03-15 15:20:15","","modificated_cyberpunk_code_mix_2560x1600_artwallpaperhi.com (1) kopia","","inherit","open","open","","modificated_cyberpunk_code_mix_2560x1600_artwallpaperhi-com-1-kopia","","","2015-03-15 15:24:58","2015-03-15 15:24:58","",0,"http://localhost/sellforce/wp-content/uploads/2015/03/modificated_cyberpunk_code_mix_2560x1600_artwallpaperhi.com-1-kopia.jpg",0,"attachment","image/jpeg",0
94,1,"2015-03-16 10:25:26","2015-03-16 10:25:26","Mohammed Ali
The best again in the world!
394632976329846
m.ali@ali.com","Kontakter","","publish","open","open","","kontakter","","","2015-03-16 10:25:35","2015-03-16 10:25:35","",0,"http://localhost/sellforce/?page_id=94",0,"page","",0
95,1,"2015-03-16 10:25:26","2015-03-16 10:25:26","Mohammed Ali
The best again in the world!
394632976329846
m.ali@ali.com","Kontakter","","inherit","open","open","","94-revision-v1","","","2015-03-16 10:25:26","2015-03-16 10:25:26","",94,"http://localhost/sellforce/94-revision-v1/",0,"revision","",0
96,1,"2015-03-17 08:43:00","2015-03-17 08:43:00","Denna lägenhet är mycket bra!","lägenhet slide","","publish","open","open","","home","","","2015-03-17 09:36:55","2015-03-17 09:36:55","",0,"http://localhost/sellforce/?p=96",0,"post","",0
97,1,"2015-03-17 08:43:00","2015-03-17 08:43:00","Denna lägenhet är mycket bra!","lägenhet slide","","inherit","open","open","","96-revision-v1","","","2015-03-17 08:43:00","2015-03-17 08:43:00","",96,"http://localhost/sellforce/96-revision-v1/",0,"revision","",0
98,1,"2015-03-17 08:43:58","2015-03-17 08:43:58","","01","","inherit","open","open","","01","","","2015-03-17 08:45:07","2015-03-17 08:45:07","",0,"http://localhost/sellforce/wp-content/uploads/2015/03/01.jpg",0,"attachment","image/jpeg",0
99,1,"2015-03-17 08:44:11","2015-03-17 08:44:11","","02","","inherit","open","open","","02","","","2015-03-17 08:45:59","2015-03-17 08:45:59","",0,"http://localhost/sellforce/wp-content/uploads/2015/03/02.jpg",0,"attachment","image/jpeg",0
100,1,"2015-03-17 08:44:15","2015-03-17 08:44:15","","03","","inherit","open","open","","03","","","2015-03-17 08:44:46","2015-03-17 08:44:46","",0,"http://localhost/sellforce/wp-content/uploads/2015/03/03.jpg",0,"attachment","image/jpeg",0
101,1,"2015-03-17 08:44:15","2015-03-17 08:44:15","","04","","inherit","open","open","","04","","","2015-03-17 08:45:46","2015-03-17 08:45:46","",0,"http://localhost/sellforce/wp-content/uploads/2015/03/04.jpg",0,"attachment","image/jpeg",0
102,1,"2015-03-17 10:02:36","0000-00-00 00:00:00","","Auto Draft","","auto-draft","open","open","","","","","2015-03-17 10:02:36","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?p=102",0,"post","",0
103,1,"2015-03-17 10:03:27","0000-00-00 00:00:00","","Auto Draft","","auto-draft","open","open","","","","","2015-03-17 10:03:27","0000-00-00 00:00:00","",0,"http://localhost/sellforce/?p=103",0,"post","",0
104,1,"2015-03-17 13:08:07","2015-03-17 13:08:07","FOOTER","Footer","","publish","open","open","","footer","","","2015-03-17 13:09:52","2015-03-17 13:09:52","",0,"http://localhost/sellforce/?page_id=104",0,"page","",0
105,1,"2015-03-17 13:08:07","2015-03-17 13:08:07","FOOTER","Footer","","inherit","open","open","","104-revision-v1","","","2015-03-17 13:08:07","2015-03-17 13:08:07","",104,"http://localhost/sellforce/104-revision-v1/",0,"revision","",0
